family,variant
GEOFFREY,JEFF
GEORGE,GEORGIE
GEORGIA,GEORGIE
GERALD,JERRY
GERALD,GERARD
GERARD,JERRY
JEROME,JERRY
GERTRUDE,TRUDY
GILBERT,GIL
GIANNA,GIA
GISELLE,GIGI
GRACE,GRACIE
GRAEME,GRAHAM
GREGORY,GREG
GREGORY,GREGG
GUNNAR,GUNNER
HAKEEM,HAKIM
HAILEY,HALEY
HAILEY,HAYLIE
HARRIET,HALLIE
HAROLD,HAL
HAROLD,HARRY
HENRY,HANK
HERBERT,HERB
HERBERT,HERBIE
HERMAN,HERMIE
HILLARY,HILARY
HOLLY,HOLLIE
HUGH,HUGO
HOWARD,HOWIE
ISAAC,IKE
ISABEL,ISABELLA
ISABEL,ISABELLE
ISABEL,IZZY
ISIAH,ISAIAH
JACOB,JAKE
JACQUELINE,JACKIE
JAMES,JIM
JAMES,JIMMY
JAMES,JAMIE
JAMES,JIMMIE
JANE,JANIE
JANET,JAN
JASMINE,JASMIN
JASMINE,JAZMIN
JASON,JASE
JAYDEN,JADEN
JAYLEN,JALEN
JAYLEN,JAYLON
JEAN,JEANNE
JEAN,JEANIE
JEFFREY,JEFF
JENNA,JENNIE
JENNIFER,JEN
JENNIFER,JENNY
JEREMIAH,JEREMY
JESSICA,JESS
JESSIE,JESSE
JOHN,JACK
JOHN,JOHNNY
JOHN,JOHNNIE
JOHN,JON
JONAH,JONAS
JOSEPHINE,JOSIE
JOSEPHINE,JO
JUDITH,JUDY
JUDE,JUDAH
JULIA,JULIE
JULIANA,JULIANNE
JULIAN,JULES
JUANITA,NITA
KALEY,KAYLEE
KARA,CARA
KARLA,CARLA
KATHERINE,CATHERINE
KATHERINE,CATHY
KATHERINE,KATHY
KATHERINE,KATE
KATHERINE,KATIE
KATHERINE,KAY
KATHERINE,KITTY
KEIRA,KIERA
KEIRA,KIRA
KELLY,KELLIE
KELSEY,KELSEA
KENDALL,KENDAL
KENNETH,KEN
KENNETH,KENNY
KEISHA,LAKISHA
KENT,KENTON
KEVIN,KEV
KIANA,KIANNA
KIERAN,KIEREN
KILLIAN,KILIAN
KYLEE,KYLIE
LAURA,LAURIE
LAURA,LORA
LAURA,LAUREN
LORETTA,LORA
LAWRENCE,LARRY
LAWRENCE,LAURENCE
LAYLA,LAILA
LAYLA,LEILA
LAYLA,LEYLA
LEAH,LEIA
LEANNA,LEANNE
ELENA,LENA
ELENA,LINA
LEENA,LENA
LEON,LEN
LEONARD,LEN
LEONARD,LENNY
LESLIE,LES
LILLIAN,LILY
LILLIAN,LILIAN
LILLIAN,LILLY
LINDA,LYNDA
LINDSAY,LINDSEY
LOUISE,LOUISA
LUCILLE,LUCY
LUCINDA,LUCY
LUCAS,LUKE
MABEL,MABELLE
MACKENNA,MCKENNA
MACY,MACEY
MADELINE,MADDIE
MADELINE,MADELEINE
MARGARET,MEG
MARGARET,PEG
MARGARET,PEGGY
MARGARET,MAGGIE
MARGARET,MARGE
MARGARET,MARGIE
MARGARET,GRETA
MARGARET,MADGE
MARGARET,MARGOT
MARGARET,MARJORIE
MARGARET,MAISIE
MARGARET,GRETCHEN
MARGARET,MARGUERITE
MARCIA,MARCY
MARCUS,MARC
MARK,MARC
MARNIE,MARNI
MARTHA,MARTA
MARTIN,MARTY
MARY,POLLY
MARY,MOLLY
MARY,MOLLIE
MARY,MARIE
MARY,MAMIE
MARY,MINNIE
MARYANN,MARIAN
MATTHEW,MATT
MELISSA,MEL
MELANIE,MEL
MELINDA,MINDY
MICHELLE,SHELLY
MIKAYLA,MIKAELA
MILTON,MILT
MITCHELL,MITCH
MOHAMMED,MOHAMED
MOHAMMED,MUHAMMED
MOHAMMED,MUHAMMAD
MONICA,MONA
MONTGOMERY,MONTY
NASEER,NASSER
NEIL,NEAL
NATHAN,NATHANIEL
NICHOLAS,NICK
NICOLE,NIKKI
NICOLE,NICHOLE
NOAH,NOA
NOELLE,NOEL
NOREEN,NORA
NORA,NORAH
OLIVER,OLLIE
OLIVIA,LIV
OLIVIA,OLIVE
OMAR,OMER
OREN,ORIN
OSCAR,OSKAR
PASQUALE,PASCAL
PATRICIA,PATTY
PATRICIA,TRISH
PATRICIA,TRICIA
PATRICK,PAT
PATRICK,PADDY
PAUL,PAULA
PAUL,PAULINE
PAUL,PAULETTE
PENELOPE,PENNY
PERCIVAL,PERCY
PERRY,PEREGRINE
PETER,PETE
PHILLIP,PHIL
PHILLIP,PHILIP
PIPER,PIP
PORCIA,PORTIA
QUENTIN,QUINTIN
RAFAEL,RAFE
RAJEET,RAJ
RANDY,RANDALL
RAYMOND,RAY
REAGAN,REGAN
REBECCA,BECKY
REBECCA,BECCA
REBECCA,BECK
REGINALD,REGGIE
RENEE,RENE
RICHARD,RICK
RICHARD,RICHIE
RICHARD,DICK
RICHARD,RICKY
RICHARD,RICH
ROBERT,BOB
ROBERT,ROB
ROBERT,BOBBY
ROBERT,ROBBIE
ROBERT,BOBBIE
ROBERTA,BOBBI
ROCCO,ROCKY
RODNEY,ROD
ROGER,RODGER
ROLAND,ROLLIE
ROMEO,ROME
ROSE,ROSIE
ROSE,ROSEMARY
ROXANNE,ROXIE
RUBEN,RUEBEN
RUBEN,REUBEN
RUDOLPH,RUDY
RUSSELL,RUSS
RUSSELL,RUSTY
RUTH,RUTHIE
RYAN,RIAN
SALVATORE,SAL
SAMANTHA,SAM
SANDRA,SANDY
SARAH,SARA
SARAH,SADIE
SARAH,SALLY
SAID,SAYID
SEAN,SHAUN
SEAN,SHAWN
SEBASTIAN,SEB
SHAFEEK,SHAFIQ
SIMON,SIMEON
SKYLAR,SKYLER
SOPHIA,SOPHIE
STELLA,ESTELLA
STEWART,STU
STEWART,STUART
SYDNEY,SIDNEY
TARIK,TAREK
TARYN,TARYNE
TEAGAN,TEGAN
THEODORE,TED
THEODORE,TEDDY
THEODORE,THEO
THOMAS,TOM
THOMAS,TOMMY
THOMAS,TOMMIE
THOMAS,THOM
THERESA,TERESA
THERESA,TERI
THERESA,TESS
TIMOTHY,TIM
TOBIAS,TOBY
VALERIE,VALERIA
VALERIE,VAL
VANESSA,NESSA
VERONICA,VERA
VICTORIA,VICKY
VICTORIA,TORI
VICTORIA,VICKI
VINCENT,VINNIE
VINCENT,VINCE
VIOLET,VIOLA
VIRGIL,VERGIL
VIRGINIA,GINNY
VIRGINIA,GINGER
VLADAMIR,VLADIMIR
VIVIAN,VIV
WALTER,WALT
WESLEY,WES
WHITNEY,WHIT
WILLIAM,BILL
WILLIAM,WILL
WILLIAM,BILLY
WILLIAM,WILLY
WILLIAM,WILLIE
WILLIAM,BILLIE
WYNONA,WINONA
YASMIN,YASMINE
YVONNE,EVONNE
ZACHARY,ZACK
ZACHARY,ZACH
ZACHARY,ZAK
ZANE,ZAIN
ZION,ZYON
ZOE,ZOEY
ARIA,ARYA
DEXTER,DEX
ELYSE,ELISE
GARRETT,GARRET
HARVEY,HARV
HERSCHEL,HERSHEL
JARED,JARROD
KAYLA,KAYLIN
KAYLA,KAYLEIGH
MARCEL,MARCELLUS
MARIAH,MORIAH
MARIBEL,MARIBELLE
MARILYN,MARYLIN
MARISSA,MARISA
MARSHALL,MARSHAL
MAURA,MOIRA
MAYRA,MAIRA
MEREDITH,MERRY
MIRIAM,MIMI
COLTON,COLT
CONNOR,CONNER
CONRAD,KONRAD
CORA,KORA
